Key,Value
1,A versão do pacote não corresponde à do servidor. Reinicie o aplicativo.
2,Reinicie o jogo para fazer uma atualização.
3,Erro no servidor (BD)
4,Erro no servidor (LUA)
5,Erro na tabela do Excel
6,Erro no servidor (Parâmetro)
7,Erro no servidor (Lógico)
8,Erro no servidor
9,Você não se conectou.
10,Você já se conectou.
11,Não há alvos para expulsar.
12,Autenticação incorreta
13,Identificador de personagem incorreto
14,Informação de classe incorreta
15,Sexo incorreto
16,Nome incorreto
17,Informações de PNJ incorretas
18,Identificador de jogador incorreto
19,Informações de raça incorretas
20,Habilidade incorreta
21,Alvo de habilidade incorreto
22,Est. Incorreto
23,Você não pode mais entrar.
24,Não há um identificador do dispositivo.
25,Esse nome já está sendo usado.
26,Habilidade em uso.
27,Você não pode se mover.
28,Você não morreu.
29,PM insuficiente
30,Adena insuficiente
31,Você não selecionou nenhum jogador.
32,Diamantes insuficientes.
33,O nível do personagem é insuficiente.
34,Não é possível transferir a classe para o mesmo identificador.
35,Não é possível transferir para essa classe.
36,"Ainda não é possível transferir classe, pois seu nível está muito baixo."
37,Código de segurança incorreto.
38,Identificador de jogador incorreto.
39,Identificador de efeito de bônus incorreto.
40,Identificador de informações da loja incorreto.
41,O hash do pacote não corresponde. Talvez o jogo não seja executado adequadamente.
42,Identificador de efeito de habilidade incorreto.
43,Identificador de conquista incorreto.
44,Nível de runa inválido.
45,Fragmentos de runa insuficientes.
46,Informações de runa inválidas.
47,Falha ao subir nível da runa.
48,A runa já está no nível máximo.
49,O nível da runa anterior não é alto o suficiente.
50,Isso ultrapassa a capacidade de adenas.
51,Isso ultrapassa a capacidade de topázios.
52,Isso ultrapassa a capacidade de diamantes.
53,@NotEnoughFreeDiamondStorage
54,Topázios insuficientes.
55,Pontos de lealdade de empate insuficientes.
56,Está morto.
57,"Somente de 4 a 16 caracteres.
(De 2 a 8 se houver caracteres coreanos/chineses)"
58,"Não pode ter espaços.
Digite outro nome."
59,PH insuficiente.
60,Sua capacidade de adenas está no máximo.
61,Sua capacidade de moedas do clã está no máximo.
62,Coloque mais na página de runa anterior.
63,Pontos de amizade insuficientes.
64,Tipo de recompensa inválido.
65,Atordoado.
66,Batalha em andamento.
67,Não é possível selecionar essa classe durante a criação de personagem.
68,Ultrapassou a capacidade de pontos de lealdade.
69,Esperando na fila.
70,Você não pode usar dispositivos.
71,Você não pode usar o código de segurança relevante agora.
72,"Esse conteúdo é restrito.
Você não pode entrar."
73,Valor de classe de base incorreto.
74,"Esse personagem é um líder de clã.
Será possível excluir o personagem líder de clã após transferir a liderança ou deixar o clã."
75,Diamantes azuis insuficientes.
76,Diamantes vermelhos insuficientes.
77,Alvo restrito.
78,O bate-papo está proibido no momento.
79,"Não é possível entrar, pois há uma restrição de número de jogadores participantes."
80,Pedras estelares do clã insuficientes.
81,Disponível após transferência de classe.
82,"Esse apelido foi pré-registrado.
Se tiver feito o pré-registro, siga para as etapas de verificação."
83,Apelido inválido.
84,Esse jogador foi excluído.
85,Mundo oculto.
86,Valor de conta vazio.
87,Valor de ficha vazio.
100,Você se desconectou por causa de uma manutenção no servidor.
101,"Esperando para reviver.
Você ainda não pode reviver."
102,O canal está cheio.
103,Restrição de mudança de tempo.
201,Não é possível obter a conquista.
202,Não há conquistas.
203,Você já coletou a recompensa do nível de conquista.
251,Mensagem de bate-papo inválida
252,Identificador de mensagem de bate-papo incorreto.
253,Identificador de informações adicionais de bate-papo incorreto.
254,Tipo incorreto de público-alvo do bate-papo.
255,Restrição de tempo de recarga.
256,Já está na lista de bloqueio de bate-papo.
257,Não está na lista de bloqueio de bate-papo.
258,Registrado na lista de bloqueio de bate-papo.
259,O destinatário bloqueou você.
301,Este é o tempo de recarga da habilidade.
302,Crie uma conta antes
303,Falha ao verificar a habilidade usada anteriormente.
370,Informações incorretas de presença.
371,Identificador de informações de presença incorreto.
372,Identificador de recompensa de presença incorreto.
373,Você já confirmou presença.
374,Você já recebeu a recompensa.
375,Nenhum período de recompensa por presença semanal ativo.
401,Identificador de item incorreto.
402,@InvalidItemInfoId
403,Não é possível aprimorar esse item.
404,Sucatas insuficientes.
405,Itens insuficientes.
406,A combinação e a melhoria estão disponíveis a partir do nv. 5.
407,Pergaminhos de aprimoramento insuficientes.
408,Impossível aprimorar mais.
409,Falha ao aprimorar equipamento.
410,"O equipamento foi selado.
Não é possível aprimorar equipamentos selados."
411,Só equipamentos selados podem ser liberados.
412,Esse equipamento já está equipado.
413,Esse equipamento não está equipado.
414,Espaços insuficientes em seu inventário.
415,Equipamentos equipados não podem ser usados.
-1,Não é possível liberar o selo desse equipamento.
417,Não é possível melhorar esse equipamento.
418,Não é mais possível melhorar esse equipamento.
419,Não é mais possível combinar esse equipamento.
420,Não é permitido usar itens favoritos.
421,"Os materiais de combinação têm tipos diferentes.
Só é possível combinar equipamentos do mesmo tipo."
422,"Os materiais de combinação têm graus diferentes.
Só é possível combinar equipamentos de mesmo grau."
423,Índice de subatributo incorreto.
424,Não é possível usar esse item.
425,Não é mais possível encantar esse equipamento.
426,Isso não é um equipamento.
427,Materiais insuficientes para melhorar.
428,Seu inventário chegou ao limite de expansão.
429,Identificador de item de material incorreto.
430,Isso não é um pergaminho de aprimoramento.
431,O identificador de informações do item é diferente.
432,Não é possível quebrar o limite desse item.
433,Esse item não pode mais ter o limite quebrado.
434,Isso não é um Cristal Anímico.
435,Índice de espaço de item incorreto.
436,O tipo de Cristal Anímico já está equipado.
437,O item já está no nível máximo.
438,Esse item não tem nenhum subatributo.
439,Esse item não tem nenhum atributo.
440,Os atributos não correspondem.
441,Falha ao aprimorar o atributo do item.
442,Não é possível usar mais elixires.
443,Tipo ou grupo de fabricação de item incorreto.
444,Materiais insuficientes para fabricação do item.
445,Cristais de Égide insuficientes.
446,Tipo de equipamento incorreto.
447,Índice de conjunto incorreto.
448,Esse conjunto de equipamentos já está em uso.
449,O servidor é diferente do baralho.
450,"Falha ao fabricar o item, pois não há espaços suficientes no inventário."
451,Não foi possível usar as informações da tabela.
452,Esse Códice de Monstros já está concluído.
453,Você não tem Núcleos de Monstro desvinculados no seu inventário.
454,Identificador de grupo incorreto.
455,Esse grupo do Códice de Monstros já está concluído.
456,Não há Códices de Monstros disponíveis para trabalhar.
457,Tipo de recompensa de recesso incorreto.
458,Pontos de Recesso insuficientes.
459,O tipo de moeda para uso adicional é diferente.
460,Tipo de subatributo do item Pergaminho Esquecido incorreto.
461,Não é um item Pergaminho Esquecido.
462,Não pode usar item Pergaminho Esquecido.
463,A habilidade já está no nível máximo.
464,Contagem de material incorreta.
465,Esse pergaminho de aprimoramento é de outro tipo.
466,"Não é possível usar, pois seus PV estão no máximo."
467,"Não é possível usar, pois seus PM estão no máximo."
468,Não é possível fabricar mais.
469,Pergaminhos de fuga insuficientes.
470,A caixa-surpresa está vazia.
471,Não há Cristais Anímicos equipados.
472,Não é possível usar esse elixir.
473,O nível de atributo do equipamento está no máximo.
474,Esse item não é do tipo megafone.
475,Tipo de efeito do Cristal Anímico incorreto.
476,Identificador de informação de caída de item incorreto.
477,Você chegou à contagem diária permitida.
478,Impossível usar durante o tempo de recarga.
479,"Esse equipamento não serve para sua classe, por isso é impossível equipar-se com ele."
480,Teletransportando.
481,As armas não são removidas. Substitua por outra arma.
482,Já está no nível máximo.
483,O mesmo tipo de Disparo Anímico já está ativado.
484,Na Arena.
485,Não é possível evocar a Pedra de Evocação do mal aqui.
486,Não é mais possível usar porque o Valor Caótico chegou a 0.
487,Impossível adquirir mais.
488,Ultrapassa a quantidade máxima que pode ser vendida de uma vez.
489,Espaço de subatributo incorreto.
490,Não é possível fabricar esse item com equipamentos.
491,O nível do item para fabricação de equipamento é baixo demais.
492,O grau do item para fabricação de equipamento é baixo demais.
493,Não é possível vender esse item.
501,Impossível receber mensagens.
502,"A caixa de correio está cheia.
Obtenha a recompensa em sua caixa de correio
e tente novamente."
503,"Não foi possível obter as recompensas porque a caixa de correio está cheia.
Tente depois de abrir espaço em sua caixa de correio."
511,Pontos de atividades diárias insuficientes.
512,Identificador de recompensa de atividades diárias incorreto.
513,Identificador de grupo de recompensa de atividades diárias incorreto.
514,Não há recompensas para receber.
521,Identificador de informações de “Concluir agora” incorreto.
522,Não é um identificador das informações de “Concluir agora”.
523,Identificador de grupo de recompensa de “Concluir agora” incorreto.
531,Tipo de solicitação de missão incorreto.
532,Tipo de informações de solicitação de missão incorreto.
533,Não é possível iniciar a missão agora.
534,Não é possível concluir no momento.
535,Nenhuma missão está em andamento atualmente.
536,Missão já concluída.
537,Não há novas missões diárias para renovar.
538,Nenhuma missão semanal está em andamento.
539,@NoMoreDailyActivityRewardGet
540,Outra missão semanal em andamento.
541,Você expandiu a contagem de missões diárias de hoje.
601,Identificador de informações de território incorreto.
602,Identificador de informações do local incorreto.
603,Identificador de informação de região incorreto.
604,Identificador de informação de missão incorreto.
605,A missão já está em andamento.
606,A missão não está em andamento.
607,Não é possível cumprir a missão.
608,A missão de pré-requisito não foi cumprida.
609,Bilhetes de missão insuficientes.
610,Contagem de conclusão de missão insuficiente.
611,Não há mudanças na missão.
612,A região não foi liberada.
613,O local da região não foi liberado.
614,Falha na missão.
615,Não houve falha na missão.
616,Não é possível reviver durante a missão.
617,Identificador de dispositivo incorreto.
618,A distância é longe demais.
619,Não há PNJs.
620,Est. da missão incorreto.
621,A missão já foi concluída.
622,Conclusões automáticas de missão insuficientes.
623,Informações de recompensa de missão de conquista incorretas.
624,Estrelas insuficientes para concluir a conquista.
625,Não foi concluída nem uma vez.
626,Essa não é uma missão de conquista.
627,Chegou ao máximo de bilhetes de missão.
628,Chegou ao máximo de recarga de bilhetes de missão.
629,É preciso obter ao menos 3 estrelas para poder usar a conclusão automática nessa fase.
630,Sem números restantes de controle de dispositivo.
631,Dispositivo sob controle.
632,Número de ato da missão incorreto.
633,Ato de missão ainda não cumprido.
634,A recompensa por concluir o ato da missão já foi obtida.
635,A recompensa por concluir o progresso da missão já foi obtida.
636,Número insuficiente de pergaminhos da missão.
637,Número de redefinições de pergaminho da missão insuficiente.
701,"A habilidade está no nível máximo.
Tente após aumentar o nível de seu personagem."
702,Identificador de conjunto de habilidades incorreto.
703,Falha ao mudar o conjunto de habilidades.
704,Impossível usar a habilidade com essa arma.
801,Esse jogador já está na lista de amigos.
802,Você já enviou uma solicitação.
803,Não recebeu nenhuma solicitação de amizade.
804,Não está na lista de amigos.
805,Impossível encontrar jogador.
806,Sua lista de amigos está cheia.
807,Seus espaços de solicitações de amizade recebidas estão cheios.
808,Você não pode saudar a si mesmo.
809,Já saudou.
810,Não é possível enviar-se solicitações.
811,Falha ao criar uma lista de amigos recomendados.
812,"Não está na lista de amigos.
O bate-papo privado está disponível apenas para jogadores amigos."
813,Você não recebeu nenhuma saudação de seus amigos.
814,Esse jogador ainda não concluiu o tutorial de amizade.
815,A solicitação de amizade foi aceita.
816,Você chegou ao limite diário de saudações.
817,Você não tem amigos para saudar.
818,A lista de amizade desse jogador está cheia.
819,Você já enviou muitas solicitações de amizade.
847,Só o líder do grupo pode solicitar a entrada.
848,Já está participando de uma masmorra.
849,Você não pode fazer isto enquanto estiver em um grupo.
850,Você já convidou esse jogador.
851,Esse grupo não existe.
852,Você não foi convidado para um grupo.
853,Você já pertence a um grupo
854,Você não está em nenhum grupo.
855,O líder do grupo está desconectado.
856,Você não pode vir aqui.
857,Você já é líder do grupo.
858,Você não tem autoridade.
859,Não pode fazer isso consigo mesmo.
860,O grupo está cheio.
861,Não está conectado.
862,Não solicitou entrada em um grupo.
863,O alvo está em uma região à qual você não pode ir ou em uma região impossível de ser evocado.
864,Não está em uma sala.
865,Não pode ser feito aqui.
866,Não é possível formar um grupo durante um Cerco ao Castelo / Cerco à Fortaleza.
867,Membros do grupo insuficientes.
868,Só o líder do grupo pode cancelar.
869,Esse usuário ainda não concluiu o tutorial de grupo.
870,Já está em formação de partida.
871,Em uma região em que não se pode usar a busca rápida.
872,Não pode ser feito dentro de uma masmorra de instância.
873,Não é um grupo.
874,Não pode ser feito.
875,Não está em uma fila para entrar em uma masmorra de grupo.
876,Não é possível encontrar esse membro de grupo.
877,Membros do grupo insuficientes.
